Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:27:35.351,114284.1,0.044,BTCUSDT
2025-09-30 03:27:35.376,114284.2,0.026,BTCUSDT
2025-09-30 03:27:37.506,114284.2,0.079,BTCUSDT
2025-09-30 03:27:38.031,114284.1,0.089,BTCUSDT
2025-09-30 03:27:38.142,114284.2,0.015,BTCUSDT
2025-09-30 03:27:38.251,114284.1,0.004,BTCUSDT
2025-09-30 03:27:38.262,114284.1,0.006,BTCUSDT
2025-09-30 03:27:38.664,114284.1,0.032,BTCUSDT
2025-09-30 03:27:38.746,114284.2,0.001,BTCUSDT
2025-09-30 03:27:38.944,114284.1,0.03,BTCUSDT
2025-09-30 03:27:40.246,114284.2,0.004,BTCUSDT
2025-09-30 03:27:40.446,114284.2,0.001,BTCUSDT
2025-09-30 03:27:40.456,114284.1,0.013,BTCUSDT
2025-09-30 03:27:40.456,114284.1,0.004,BTCUSDT
2025-09-30 03:27:41.197,114284.1,0.012,BTCUSDT
2025-09-30 03:27:41.526,114284.2,0.001,BTCUSDT
2025-09-30 03:27:42.904,114284.1,0.001,BTCUSDT
2025-09-30 03:27:42.945,114284.2,0.004,BTCUSDT
2025-09-30 03:27:44.079,114284.1,0.03,BTCUSDT
2025-09-30 03:27:44.895,114284.2,0.003,BTCUSDT
2025-09-30 03:27:45.449,114284.2,0.001,BTCUSDT
2025-09-30 03:27:45.462,114284.2,0.015,BTCUSDT
2025-09-30 03:27:45.536,114284.2,0.087,BTCUSDT
2025-09-30 03:27:46.128,114284.1,0.032,BTCUSDT
2025-09-30 03:27:47.185,114284.2,0.001,BTCUSDT
2025-09-30 03:27:48.104,114284.1,0.012,BTCUSDT
2025-09-30 03:27:49.262,114284.1,0.249,BTCUSDT
