index,card_id,card_name,set_id,set_name,card_number,card_market_value,binder_name,page_number,slot_number
2-1-1,base4-1,Alakazam,base4,Base Set 2,1,36.39,2,1,1
2-1-2,base4-2,Blastoise,base4,Base Set 2,2,102.11,2,1,2
2-1-3,base4-3,Chansey,base4,Base Set 2,3,14.35,2,1,3
2-1-4,base4-4,Charizard,base4,Base Set 2,4,297.08,2,1,4
2-1-5,base4-5,Clefable,base4,Base Set 2,5,14.19,2,1,5
2-1-6,base4-6,Clefairy,base4,Base Set 2,6,10.74,2,1,6
2-1-7,base4-7,Gyarados,base4,Base Set 2,7,26.74,2,1,7
2-1-8,base4-8,Hitmonchan,base4,Base Set 2,8,21.05,2,1,8
2-1-9,base4-9,Magneton,base4,Base Set 2,9,12.07,2,1,9
2-2-1,base4-10,Mewtwo,base4,Base Set 2,10,39.96,2,2,1
2-2-2,base4-11,Nidoking,base4,Base Set 2,11,23.83,2,2,2
2-2-3,base4-12,Nidoqueen,base4,Base Set 2,12,22.99,2,2,3
2-2-4,base4-13,Ninetales,base4,Base Set 2,13,21.08,2,2,4
2-2-5,base4-14,Pidgeot,base4,Base Set 2,14,27.11,2,2,5
2-2-6,base4-15,Poliwrath,base4,Base Set 2,15,13.64,2,2,6
2-2-7,base4-16,Raichu,base4,Base Set 2,16,33.01,2,2,7
2-2-8,base4-17,Scyther,base4,Base Set 2,17,24.35,2,2,8
2-2-9,base4-18,Venusaur,base4,Base Set 2,18,73.03,2,2,9
2-3-1,base4-19,Wigglytuff,base4,Base Set 2,19,11.14,2,3,1
2-3-2,base4-20,Zapdos,base4,Base Set 2,20,24.0,2,3,2
2-3-3,base4-21,Beedrill,base4,Base Set 2,21,1.91,2,3,3
2-3-4,base4-22,Dragonair,base4,Base Set 2,22,8.58,2,3,4
2-3-5,base4-23,Dugtrio,base4,Base Set 2,23,3.23,2,3,5
2-3-6,base4-24,Electabuzz,base4,Base Set 2,24,3.22,2,3,6
2-3-7,base4-25,Electrode,base4,Base Set 2,25,3.89,2,3,7
2-3-8,base4-26,Kangaskhan,base4,Base Set 2,26,3.11,2,3,8
2-3-9,base4-27,Mr. Mime,base4,Base Set 2,27,6.04,2,3,9
2-4-1,base4-28,Pidgeotto,base4,Base Set 2,28,4.08,2,4,1
2-4-2,base4-29,Pinsir,base4,Base Set 2,29,3.3,2,4,2
2-4-3,base4-30,Snorlax,base4,Base Set 2,30,9.51,2,4,3
2-4-4,base4-31,Venomoth,base4,Base Set 2,31,3.29,2,4,4
2-4-5,base4-32,Victreebel,base4,Base Set 2,32,2.82,2,4,5
2-4-6,base4-33,Arcanine,base4,Base Set 2,33,2.09,2,4,6
2-4-7,base4-34,Butterfree,base4,Base Set 2,34,1.7,2,4,7
2-4-8,base4-35,Charmeleon,base4,Base Set 2,35,1.7,2,4,8
2-4-9,base4-36,Dewgong,base4,Base Set 2,36,1.25,2,4,9
2-5-1,base4-37,Dodrio,base4,Base Set 2,37,1.73,2,5,1
2-5-2,base4-38,Dratini,base4,Base Set 2,38,1.18,2,5,2
2-5-3,base4-39,Exeggutor,base4,Base Set 2,39,1.18,2,5,3
2-5-4,base4-40,Farfetch'd,base4,Base Set 2,40,0.52,2,5,4
2-5-5,base4-41,Fearow,base4,Base Set 2,41,1.23,2,5,5
